"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
verifying render times each switch.
","128839","test CHR TC01 positive chart render time select timeframe repeatedly","LIRUNEX","Thu Aug 21 01:23:22 GMT+07:00 2025","passed","Thu Aug 21 01:25:30 GMT+07:00 2025","Chart","MT5","",""
"
Runs both:
1. Default render time for the chart.
2. Timeframe render times for all ChartTimeframe values.
","73191","test CHR TC01 positive chart render time","LIRUNEX","Thu Aug 21 01:22:08 GMT+07:00 2025","passed","Thu Aug 21 01:23:21 GMT+07:00 2025","Chart","MT5","",""
