"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
verifying render times each switch.
","121197","test CHR TC01 chart render time select timeframe repeatedly","LIRUNEX","Thu Aug 21 01:19:01 GMT+07:00 2025","passed","Thu Aug 21 01:21:03 GMT+07:00 2025","Chart","MT5","",""
"
Runs both:
1. Default render time for the chart.
2. Timeframe render times for all ChartTimeframe values.
","71665","test CHR TC01 chart render time","LIRUNEX","Thu Aug 21 01:17:49 GMT+07:00 2025","passed","Thu Aug 21 01:19:01 GMT+07:00 2025","Chart","MT5","",""
